Заголовок,Краткий текст,Класс,Уверенность,Причина
"Эксперты рассказали, появятся ли в аптеках шприц‑ручки для аллергиков","Фото: Andrey_Popov/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/S...",Здравоохранение и экспертные мнения,0.5128,—
Разработка российских ученых позволит врачам эффективнее контролировать состояние пациентов с муковисцидозом,"Фото: greenbutterfly/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM...",Здравоохранение и экспертные мнения,0.5171,—
Лекарства с родословной: «Честный знак» отследит путь лекарства от субстанции до препарата в упаковке,"Фото: Studio217/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shut...",Здравоохранение и экспертные мнения,0.5193,—
J&J получает права на новые препараты для лечения солидных опухолей,"Фото: ALIOUI Mohammed Elamine7/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Susl...",Здравоохранение и экспертные мнения,0.6203,—
Сеть клиник «Будь Здоров» и F.Doc запустили проект электронного документооборота с пациентами,"Фото: aNorther/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutt...",Здравоохранение и экспертные мнения,0.4914,—
«Биннофарм Групп» локализовала производство орфанного препарата,"Фото: Mike Mareen/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Sh...",Здравоохранение и экспертные мнения,0.5315,—
Первые в мире: ученые Роспотребнадзора разработали тест для быстрого выявления грибковых инфекций в легких,"Фото: Explode/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutte...",Здравоохранение и экспертные мнения,0.4876,—
Европейская комиссия проводит проверку на предприятиях Sanofi,"Фото: Andy Shell/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shu...",Здравоохранение и экспертные мнения,0.5143,—
«Ригла» открыла аккредитационный центр для фармацевтов,"Фото: NFstock/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutte...",Здравоохранение и экспертные мнения,0.5099,—
FDA одобрило Blenrep от GSK для комбинированного лечения множественной миеломы,"Фото: CC7/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shuttersto...",Здравоохранение и экспертные мнения,0.5326,—
Сингапур ужесточает наказание за использование электронных сигарет с этомидатом,"Фото: Hazem.m.kamal/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.6071,—
"Открыт рецепторный механизм, отвечающий за контроль аппетита и массы тела","Фото: Chutima Chaochaiya/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOT...",Здравоохранение и экспертные мнения,0.5739,—
Спустя три года Конго объявила о новой вспышке лихорадки Эбола,"Фото: Arif biswas/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Sh...",Здравоохранение и экспертные мнения,0.5459,—
Запущено собственное производстве в «ядерной аптеке» Института ядерной медицины,"Фото: Creative_Bird/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.4904,—
Перечень нозологий расширенного неонатального скрининга планируется увеличить на девять заболеваний,"Фото: Bohbeh creations/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTOD...",Здравоохранение и экспертные мнения,0.5138,—
В Пермском Политехе создают первую в России универсальную платформу для производства элайнеров,"Фото: Alex Mit/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutt...",Здравоохранение и экспертные мнения,0.4895,—
Отечественное производство внутривенного питания появится в ОЭЗ «Технополис Москва»,"Фото: Leka Sergeeva/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.5478,—
Открыт новый сезон конкурса «Платиновая унция»,"Фото: Maylim/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutter...",Здравоохранение и экспертные мнения,0.4642,—
Современный сахароснижающий препарат станет на 19% дешевле,"Фото: Sergio Photone/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM...",Здравоохранение и экспертные мнения,0.5539,—
«Биннофарм Групп» расширила линейку препаратов для женского здоровья,"Фото: WindNight/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shut...",Здравоохранение и экспертные мнения,0.5328,—
Nabla Bio и Takeda расширяют партнерство в области разработки препаратов,"Фото: metamorworks/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/S...",Здравоохранение и экспертные мнения,0.5029,—
На портале Госуслуг можно получить 32 вида электронных медицинских документов,"Фото: UnderhilStudio/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM...",Здравоохранение и экспертные мнения,0.546,—
XXII Премия Москвы в области медицины: прием заявок продолжается!,"Фото: adriaticfoto/FOTODOM/Shutterstock В столице продолжается приема заявок на соискание Премии Москвы в области медицины — традиционное ежегодное мероприятие, объединяющее тысячи врачей, ученых, что...",Заболевания и лечение,0.9667,—
Google и Flo выплатят 56 млн долларов США по делу о нарушении конфиденциальности,"Фото: ViDI Studio/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Sh...",Здравоохранение и экспертные мнения,0.4971,—
"Ученые накормили рачков микропластиком и посмотрели, что будет","Фото: MargJohnsonVA/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.5298,—
"Яйцеклетки из кожи: ученые рассказали, какие возможные угрозы и проблемы таит в себе новая технология","Фото: FOTOGRIN/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutt...",Здравоохранение и экспертные мнения,0.5201,—
Голод в Нигерии: в стране закрылось 150 пунктов питания для беженцев,"Фото: E Pasqualli/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Sh...",Здравоохранение и экспертные мнения,0.5394,—
ИИ‑модель от Сбера поможет врачам анализировать здоровье сердца пациентов,"Фото: Have a nice day Photo/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/...",—,0.4434,Низкая уверенность модели
Для борьбы с плотоядным червем FDA разрешило применение препарата от Elanco,"Фото: 3rdtimeluckystudio/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOT...",Здравоохранение и экспертные мнения,0.5901,—
«Биннофарм Групп» выходит на рынок Индонезии,"Фото: Ivanova Tanja/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.5364,—
Ключевые изменения и новые механизмы контроля на рынке БАД,"Фото: New Africa/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shu...",Здравоохранение и экспертные мнения,0.4719,—
FDA одобрило новый препарат для лечения острого миелоидного лейкоза,"Фото: SeventyFour/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Sh...",Здравоохранение и экспертные мнения,0.5378,—
«НИЖФАРМ» и РГНКЦ объединят усилия в развитии культуры активного долголетия,"Фото: pikselstock/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Sh...",Здравоохранение и экспертные мнения,0.5193,—
Такеда заключила соглашение по передаче непрофильных активов и производственной площадки в Ярославле,"Фото: Andrei Kobylko/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM...",Здравоохранение и экспертные мнения,0.5527,—
BIOCAD представил первый в России биоаналог даратумумаба,"Фото: Carlos Cid/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shu...",Здравоохранение и экспертные мнения,0.5146,—
"ПРОМОМЕД привлек 1,7 млрд рублей с помощью облигаций нового формата","Фото: ImageFlow/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shut...",Здравоохранение и экспертные мнения,0.4944,—
Сеченовский Университет выиграл грант в размере 250 миллионов рублей на создание Центра лазерных технологий в медицине,"Фото: Yurchanka Siarhei/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTO...",Здравоохранение и экспертные мнения,0.6176,—
18 ноября в Большевик Лофт состоялась Торжественная Церемония вручения международной отраслевой премии «ФАРМАСЛАВА 2025»,"Фото: Компания Фармаслава 18 ноября в Большевик Лофтсостоялась Торжественная Церемония вручения международной отраслевой премии «ФАРМАСЛАВА 2025». Победителей выбирало профессиональное жюри, состоящее...",—,0.3873,Низкая уверенность модели
FDA выпустило новые требования о назначении препарата Elevidys пациентам с МДД,"Фото: MMD Creative/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/S...",Здравоохранение и экспертные мнения,0.4557,—
Дания принесла извинения за принудительный контроль рождаемости в Гренландии,"Фото: Nicoleta Ionescu/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTOD...",Здравоохранение и экспертные мнения,0.5523,—
Lilly заключает сделку с Superluminal по разработке препаратов от ожирения,"Фото: Christin Klose/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM...",Здравоохранение и экспертные мнения,0.5405,—
В Москве введен новый стандарт лечения сердечно‑сосудистых заболеваний,"Фото: Elnur/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutters...",Здравоохранение и экспертные мнения,0.4919,—
